id,LLScore_Original,PPL_Original,LLScore_Randomized,PPL_Randomized,LLScore_Change,PPL_Change
8600088,-610.3993821144104,48.8079948425293,-660.3107585906982,67.07430267333984,-49.91137647628784,18.266307830810547
8600089,-548.88671875,21.464624404907227,-613.2280397415161,30.169227600097656,-64.34132099151611,8.70460319519043
8600090,-483.4226179122925,28.048891067504883,-481.014769077301,27.58696174621582,2.407848834991455,-0.4619293212890625
8600091,-1080.4369990825653,28.958024978637695,-1131.6875853538513,33.97097396850586,-51.25058627128601,5.012948989868164
8600092,-808.266761302948,33.58915710449219,-813.4501051902771,34.3547248840332,-5.183343887329102,0.7655677795410156
8600094,-843.4912919998169,16.637142181396484,-944.8733568191528,23.326215744018555,-101.38206481933594,6.68907356262207
8600097,-760.7688827514648,21.490617752075195,-771.395923614502,22.431528091430664,-10.62704086303711,0.9409103393554688
8600098,-563.2041459083557,29.150728225708008,-607.4034748077393,37.1698112487793,-44.199328899383545,8.019083023071289
8600099,-619.3670122623444,27.443326950073242,-637.3181569576263,30.20835304260254,-17.951144695281982,2.765026092529297
8600101,-358.9408278465271,53.959373474121094,-366.6041564941406,58.755191802978516,-7.663328647613525,4.795818328857422
8600104,-436.9133372306824,15.88339614868164,-451.8218584060669,17.455102920532227,-14.908521175384521,1.571706771850586
8600106,-439.9718556404114,61.06180191040039,-448.9412508010864,69.08204650878906,-8.969395160675049,8.020244598388672
8600109,-732.5646295547485,41.20675277709961,-744.5466594696045,43.79084014892578,-11.982029914855957,2.584087371826172
8600111,-289.07974791526794,18.541240692138672,-289.07974791526794,18.541240692138672,0.0,0.0
8600112,-614.8752927780151,14.488726615905762,-660.29541015625,17.652009963989258,-45.42011737823486,3.163283348083496
8600114,-373.9160170555115,29.03821563720703,-385.3928339481354,32.20132064819336,-11.476816892623901,3.163105010986328
8600116,-687.2062013149261,32.73210525512695,-724.5101022720337,39.55595397949219,-37.303900957107544,6.823848724365234
8600122,-548.998886346817,46.486087799072266,-605.6898446083069,69.10266876220703,-56.69095826148987,22.616580963134766
8600123,-691.0857238769531,33.9859619140625,-717.067813873291,38.8034553527832,-25.98208999633789,4.817493438720703
8600125,-666.1287231445312,32.11812210083008,-688.1698608398438,36.025177001953125,-22.0411376953125,3.907054901123047
8600126,-617.4796707630157,32.7396125793457,-633.2104711532593,35.78254699707031,-15.73080039024353,3.0429344177246094
8600131,-651.4821729660034,36.57441711425781,-673.1186497211456,41.2185173034668,-21.636476755142212,4.644100189208984
8600132,-809.1837072372437,41.63566589355469,-820.2800159454346,43.82008361816406,-11.096308708190918,2.184417724609375
8600136,-462.61677289009094,42.99620819091797,-484.51381945610046,51.37423324584961,-21.89704656600952,8.37802505493164
8600137,-547.4474558830261,15.877232551574707,-579.2194318771362,18.640762329101562,-31.771975994110107,2.7635297775268555
8600139,-605.9376089572906,30.672801971435547,-636.0953958034515,36.370548248291016,-30.15778684616089,5.697746276855469
8600141,-662.9284157752991,45.14743423461914,-692.2632122039795,53.438114166259766,-29.33479642868042,8.290679931640625
8600143,-837.1196329593658,41.286338806152344,-863.325297832489,46.38616943359375,-26.20566487312317,5.099830627441406
8600145,-521.0366206169128,21.82501792907715,-527.6098573207855,22.690624237060547,-6.573236703872681,0.8656063079833984
8600146,-598.4211695194244,25.39897918701172,-636.2227869033813,31.1570987701416,-37.80161738395691,5.758119583129883
8600147,-895.3892290592194,53.490692138671875,-953.2517127990723,67.89266204833984,-57.862483739852905,14.401969909667969
8600148,-639.0034666061401,26.94593048095703,-711.0998275279999,34.39152145385742,-72.09636092185974,7.445590972900391
8600150,-505.8716583251953,23.61064910888672,-543.2802581787109,29.829612731933594,-37.408599853515625,6.218963623046875
8600153,-822.0538032054901,28.65481948852539,-847.7825813293457,32.282291412353516,-25.72877812385559,3.627471923828125
8600154,-385.15272188186646,29.32770538330078,-410.0236737728119,35.35441207885742,-24.870951890945435,6.026706695556641
8600156,-776.7875900268555,41.86941909790039,-802.5245034694672,46.517574310302734,-25.736913442611694,4.648155212402344
8600157,-422.6462244987488,29.405149459838867,-455.47783374786377,38.237728118896484,-32.83160924911499,8.832578659057617
8600165,-761.6577396392822,40.340972900390625,-797.5202116966248,48.012306213378906,-35.86247205734253,7.671333312988281
8600168,-928.017258644104,40.93842315673828,-996.4434504508972,53.82692337036133,-68.42619180679321,12.888500213623047
8600169,-705.4539384841919,25.432483673095703,-789.8000502586365,37.44735336303711,-84.34611177444458,12.014869689941406
